id,topico,subtopico,dificuldade_fase3,nota,stem,correct_answer_index,qwen2.5:7b-instruct,phi4-mini:latest,llama3.2:3b,n_modelos_corretos,dificuldade_estimada
80d9d9002a-f0-d0-r1-q0,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.89,"Durante o redesenho do arranjo físico do offloading de um FPSO, a equipe identificou desgaste acelerado do mangote e dificuldades de desconexão em mar agitado, além de variações na medição atribuídas a estratificação do escoamento. Qual configuração de projeto atende, ao mesmo tempo, às necessidades de integridade mecânica do sistema e de qualidade metrológica da medição fiscal?",3,True,False,True,2,Média
80d9d9002a-f0-d0-r1-q1,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.84,"Num sistema de medição fiscal de óleo em offloading, há relatos de água dispersa intermitente devido a separação gravitacional parcial na linha. Considerando a necessidade de indicação volumétrica para transferência de custódia e a sensibilidade de medidores a escoamentos multifásicos, qual escolha técnica é mais adequada?",1,True,True,True,3,Fácil
80d9d9002a-f0-d0-r1-q2,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.86,"Em uma linha de offloading de gás, existem válvulas e curvas próximas à seção de medição e possibilidade de arraste intermitente de líquidos. Para garantir perfil de velocidade mais uniforme e compatibilização mecânica com a linha e o mangote/NSV, qual solução de arranjo é mais adequada?",0,True,True,True,3,Fácil
80d9d9002a-f0-d0-r1-q4,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.87,"Em uma avaliação de compatibilização mecânica e hidrodinâmica, o time de engenharia identificou que esforços do mangote estavam sendo transmitidos à seção de medição, com potencial de alterar a geometria do trecho e a estabilidade do perfil. Qual solução de arranjo físico atende aos requisitos de integridade e medição?",3,False,False,True,1,Difícil
80d9d9002a-f0-d0-r2-q0,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.91,"Durante o projeto de um skid de medição fiscal para offloading de óleo em um FPSO, a equipe precisa definir o posicionamento do medidor em relação ao mangote e aos trechos da linha sujeitos a movimentação e a mudanças de perfil de escoamento. Considerando a necessidade de condições representativas e a redução de erros por estratificação, qual decisão de arranjo é mais adequada?",1,True,True,True,3,Fácil
80d9d9002a-f0-d0-r2-q1,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.87,"Em comissionamento do offloading observou-se estratificação a baixas vazões, com água no fundo da linha; em vazões maiores esse efeito diminui. Para reduzir a incerteza fiscal no trecho de transferência, qual abordagem de projeto e operação é mais adequada?",1,True,True,True,3,Fácil
80d9d9002a-f0-d0-r2-q2,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.92,"Em uma linha de gás de offloading, um medidor ultrassônico de custódia foi montado imediatamente após uma curva. No comissionamento observaram-se perfil de velocidades distorcido, altos gradientes e leituras que variam com pequenas mudanças de posição do navio. Considerando critérios de perfil estável e condicionamento do escoamento, qual intervenção é mais indicada?",2,True,True,True,3,Fácil
80d9d9002a-f0-d0-r2-q3,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.82,"Em uma reavaliação da interface FPSO–navio aliviador, foram identificados riscos de desconexão difícil em emergência e desgaste do mangote por dobras. Considerando a compatibilização mecânica entre medidor, acoplamento e válvulas de interface, qual solução melhor atende aos requisitos?",3,True,True,True,3,Fácil
80d9d9002a-f0-d0-r2-q4,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.87,"Após offloadings recentes, o navio aliviador reportou alta fração de água recebida. Simulações indicam acúmulo de água na parte inferior da linha em baixas vazões; incrementos de vazão reduzem essa estratificação, embora aumentem o conteúdo instantâneo. Para preservar a integridade metrológica e a qualidade fiscal, qual estratégia é mais adequada?",3,True,True,True,3,Fácil
80d9d9002a-f0-d0-r2-q5,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.94,"A equipe de integridade precisa definir um programa de inspeção da linha de transferência usada no offloading fiscal, visando manter a confiabilidade metrológica e a segurança da transferência de custódia. O escopo inclui identificar perda de metal por corrosão, localizar amassamentos e mapear a espessura de parede em 360° ao longo do duto. Qual estratégia é mais adequada?",0,True,True,True,3,Fácil
