pair_id,topic,topic_name,opcao_A_condition,opcao_A_stem_preview,opcao_A_source_chunk_id,opcao_B_condition,opcao_B_stem_preview,opcao_B_source_chunk_id
1,gestao_desempenho,Gestão do Desempenho,instruction-only,"Ao analisar os indicadores de perdas de produção de um FPSO, nota-se que as para",,context-grounded,"Durante uma auditoria interna de melhoria contínua em um FPSO, identificou-se qu",corpusPublicoIBICT-SemProcessamento.txt:2443531-2443542
2,gestao_desempenho,Gestão do Desempenho,context-grounded,Uma equipe de gestão de ativos de um FPSO está revisando a estratégia de manuten,corpusPublicoIBICT-SemProcessamento.txt:2443531-2443542,instruction-only,"Ao avaliar a eficiência energética de um FPSO, nota-se que o consumo específico ",
3,gestao_desempenho,Gestão do Desempenho,instruction-only,"Em um cenário de descomissionamento planejado de um FPSO, a gestão de riscos dev",,context-grounded,Uma equipe de engenharia de confiabilidade de um FPSO propõe reestruturar o Sist,corpusPublicoIBICT-SemProcessamento.txt:2622397-2622408
4,gestao_desempenho,Gestão do Desempenho,instruction-only,Um FPSO está no final de sua vida útil projetada. A gestão do projeto de descomi,,context-grounded,Uma unidade FPSO está passando por uma revisão estratégica de sua gestão de dese,corpusPublico(sem IBICT)-SemProcessamento.txt:2449267-2449278
5,gestao_desempenho,Gestão do Desempenho,context-grounded,"Uma unidade FPSO opera com sistemas de controle avançado há três anos, mas recen",corpusPublico(sem IBICT)-SemProcessamento.txt:476965-476976,instruction-only,"Durante uma auditoria de conformidade e segurança em um FPSO, identifica-se que ",
6,gestao_desempenho,Gestão do Desempenho,instruction-only,"Durante a fase de planejamento operacional de um FPSO, a equipe identifica que o",,context-grounded,"Em um projeto de implementação de controle avançado em uma FPSO, a equipe de eng",corpusPublico(sem IBICT)-SemProcessamento.txt:476965-476976
7,injecao_agua_mar,Sistema de captação e tratamento de água do mar para injeção no reservatório,context-grounded,"Em um sistema de injeção de água do mar em um FPSO, a equipe de engenharia obser",corpusPublico(sem IBICT)-SemProcessamento.txt:1822369-1822380,instruction-only,"Em um FPSO, o sistema de dosagem de biocidas está utilizando um biocida oxidante",
8,injecao_agua_mar,Sistema de captação e tratamento de água do mar para injeção no reservatório,context-grounded,"Durante a operação de um FPSO, o sistema de tratamento de água de injeção utiliz",corpusPublicoIBICT-SemProcessamento.txt:212071-212082,instruction-only,"Em um FPSO em operação, observa-se um aumento gradual na queda de pressão nos fi",
9,injecao_agua_mar,Sistema de captação e tratamento de água do mar para injeção no reservatório,context-grounded,"Em um FPSO, observa-se um aumento gradual na pressão de sucção das bombas de inj",corpusPublico(sem IBICT)-SemProcessamento.txt:388735-388746,instruction-only,Um engenheiro de produção está analisando o desempenho do sistema de injeção de ,
10,injecao_agua_mar,Sistema de captação e tratamento de água do mar para injeção no reservatório,context-grounded,"Em um campo maduro operado por FPSO, monitora-se a produção de água para detecta",corpusPublicoIBICT-SemProcessamento.txt:611275-611286,instruction-only,"Ao projetar o sistema de captação de água do mar para um FPSO, a localização das",
11,injecao_agua_mar,Sistema de captação e tratamento de água do mar para injeção no reservatório,instruction-only,"Na operação de um sistema de injeção de água do mar, a dosagem de inibidores de ",,context-grounded,Uma unidade FPSO está operando com sistema de injeção de água do mar tratado. Ap,corpusPublico(sem IBICT)-SemProcessamento.txt:1822369-1822380
12,injecao_agua_mar,Sistema de captação e tratamento de água do mar para injeção no reservatório,instruction-only,"Durante a descomissionamento de um FPSO, o sistema de injeção de água do mar ser",,context-grounded,"Em um FPSO operando em um campo maduro, a equipe de produção observa um declínio",corpusPublico(sem IBICT)-SemProcessamento.txt:4453495-4453506
13,medicao_fiscal_offloading,"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",instruction-only,"Durante a operação de offloading em um FPSO, o sistema de medição fiscal (FMS) d",,context-grounded,Uma FPSO em operação reporta uma divergência significativa entre o volume de pet,corpusPublico(sem IBICT)-SemProcessamento.txt:1185385-1185396
