id,topico,subtopico,dificuldade_fase3,nota,stem,gemma2:2b,phi4-mini:latest,llama3.2:3b,n_modelos_corretos,dificuldade_estimada
ffde36b030-f0-d0-r1-q0,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.92,"Um trem de compressão de gás em um FPSO apresenta tendência de aumento de vibração e temperatura de mancais, ainda dentro de limites, e a redundância é limitada. A equipe deve reduzir o risco de falha sem perda desnecessária de disponibilidade. Qual ajuste é mais coerente com RCM, priorizando impacto em segurança e produção?",True,True,True,3,Fácil
ffde36b030-f0-d0-r1-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.9,"No teste mensal, uma bomba de combate a incêndio a diesel não cumpre o tempo de partida do PS, com os demais elementos operacionais. Para manter a continuidade sem elevar o risco, qual ação de governança é mais adequada?",True,True,True,3,Fácil
ffde36b030-f0-d0-r1-q3,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.86,"Uma equipe está implantando um sistema especialista inspirado em RCM para uma unidade hidráulica de atuadores de válvulas, configurável conforme o arranjo do circuito e o modo de operação. Qual benefício prático essa integração traz para a tomada de decisão de manutenção?",True,True,True,3,Fácil
ffde36b030-f0-d0-r1-q5,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.89,"Um mangote de offloading de óleo tem histórico de desgaste. A criticidade é avaliada considerando segurança, meio ambiente, produção e custo. Qual diretriz de manutenção melhor reflete boas práticas de priorização por criticidade?",True,True,True,3,Fácil
ffde36b030-f0-d0-r2-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.91,"Durante testes, um SCE de combate a incêndio não atende ao PS estabelecido quanto ao tempo de partida. A operação deseja manter o FPSO produzindo enquanto a correção é planejada. Qual procedimento é mais adequado para garantir conformidade com a governança técnica e a gestão de risco?",True,True,True,3,Fácil
ffde36b030-f0-d0-r2-q2,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.92,"Durante uma revisão de integridade, um bow tie atualizado aponta degradação em barreiras de um sistema de alívio, enquanto o plano de manutenção vigente foi estruturado a partir de uma FMEA do ano anterior. Qual a melhor forma de combinar essas evidências para definir a priorização das intervenções?",True,True,True,3,Fácil
ffde36b030-f0-d0-r2-q4,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.9,"Na revisão do plano de manutenção, compara-se uma válvula ESD classificada como SCE, com falhas raras porém consequências graves, e uma bomba de circulação com recorrência de falhas e efeito limitado à eficiência. Que critério e arranjo de tarefas traduzem uma priorização por criticidade segundo RCM?",True,True,True,3,Fácil
ffde36b030-f0-d0-r2-q5,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.9,Propõe-se instalar um bypass em um controlador de pressão do gás para facilitar futuras manutenções. Como conduzir essa alteração sob a ótica de integridade e manutenção?,True,True,False,2,Média
ffde36b030-f0-d0-r3-q0,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.93,"Em uma unidade de produção offshore, a revisão do plano de manutenção identificou: (i) um Elemento Crítico de Segurança (SCE) que não atingiu o Performance Standard (PS) em teste funcional; (ii) um equipamento não classificado como SCE apresentando tendência de degradação por monitoramento de condição. Com janela de intervenção curta e recursos limitados, qual abordagem melhor alinha a filosofia RCM à governança de PS?",True,True,True,3,Fácil
ffde36b030-f0-d0-r3-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Fácil,0.89,"Um conjunto de válvulas de processo apresenta falhas por desgaste, com bons indicadores de condição (tendência de vibração/temperatura) e consequências moderadas em termos de produção e baixo impacto direto sobre segurança. Considerando a filosofia de Manutenção Centrada na Confiabilidade (RCM), qual estratégia é mais adequada?",False,True,True,2,Média
